ISO,gdppc,gdp_quartile,age_weighted_impact,age_weighted_impact_rate,pop,age0to4_impact,age0to4_impact_rate,pop0to4,age5to64_impact,age5to64_impact_rate,pop5to64,age65plus_impact,age65plus_impact_rate,pop65plus
ABW,32250.98837120314,high,-1.3812163638522688,-1.2644518245646692,109234.39999999998,-76351.08205119787,-1459281.7533249948,5232.1000983689955,-13093.853436905567,-15439.001719156895,84810.23368666744,-48676.70089712346,-253629.28801891854,19192.066214960396
AFG,1496.2624539619844,low,-1698.3489020412112,-3.7398228067818495,45412550.00000001,-84665512.57634632,-1198965.5108947451,7061546.959191801,-47157604.941736594,-126655.05431653901,37233101.510405816,-38011772.68603821,-3400279.1527046473,1117901.5304023765
AGO,4850.331179386437,mid-low,-1099.4206153211467,-2.782707280535737,39509028.6,-6628233.149337807,-101950.64197401982,6501413.8420304265,-51892542.19030265,-162460.47079505815,31941642.133836016,-51421286.19247421,-4823930.923131905,1065962.3243338089
AIA,21843.595428183173,mid-high,-0.21636250791590783,-3.7239689988488767,5809.99755859375,-3256.533426586101,-641995.4557044833,507.25178778915136,-425.9502120352011,-9057.75603126077,4702.601953123175,-17953.767152969478,-2991855.3875941853,600.0880666697759
ALA,40055.438105996654,high,-0.20801949842150336,-1.0246186462595557,20302.138671875,121.88087211069956,6876.16242497575,1772.5129887566522,-4049.8895847764006,-24645.58453317366,16432.51585015212,-16873.941129484625,-804703.145868638,2096.9150196710148
ALB,9027.54323056572,mid-low,-136.12144012577693,-4.901088501292983,2777371.5999999996,-1855481.2716351796,-1128834.17021132,164371.46576523548,-913945.576462357,-43154.11950710078,2117864.03453782,-10842717.164480159,-2189898.5952767455,495124.16638223035
AND,40334.11061955908,high,-5.81155082733608,-9.167848648347425,63390.5625,-3757.4275806269125,-67891.96472541959,5534.421629751548,-62253.48589990933,-121332.40311899607,51308.211408995645,-515144.16925307177,-7868014.333762376,6547.321184235018
ARE,61917.56113094408,high,-40.97495836245167,-0.4142067296966288,9892393.199999997,-661597.6889400326,-153887.13884475493,429923.9649958457,-2387185.588094764,-25913.03562657504,9212296.16821347,-1048712.5592103705,-419196.52166246943,250172.05654554014
ARG,17937.92741871897,mid-high,-227.74020766012518,-0.49206963899589345,46282109.2,-2399182.9267679397,-79804.39507710734,3006329.3186419606,-4546241.626362608,-12107.259320575095,37549717.12414484,-15828596.212881971,-276501.0428889268,5724606.333307927
ARM,10546.326669642207,mid-low,-226.94574733902277,-8.2425029894033,2753359.6,-1137687.5035903319,-649390.5440532496,175193.1120661717,-2905517.903595035,-133527.68860470882,2175966.5983558204,-18651369.326716907,-4637407.216021318,402193.90831756464
ASM,8879.306429364044,mid-low,0.272217038413208,2.3131683377211574,11768.146484375,1729.0675699833112,168289.20670657183,1027.4381844333632,5784.478304983472,60728.68273100433,9525.117366048637,19708.157966354014,1621432.703850316,1215.4780102531713
ATG,17968.255036880197,mid-high,-5.600773698473144,-5.8350996293901956,95984.2,-31885.658495884236,-631776.5148246989,5046.983822235249,-139220.44531284977,-175300.10246178682,79418.34794032596,-388971.26603858045,-3377113.2497226493,11517.862661861438
AUS,40229.56016401347,high,34.36423967140076,0.12839933858511302,26763564.39999999,-4684224.016325885,-318880.00144505536,1468961.3632396453,8181043.199731992,39951.778072770074,20477294.364297505,-60395.21626603033,-1253.809570407708,4816936.932965929
AUT,42818.63485874921,high,-2.723182056344033e+33,-3.006729319577962e+31,9056957.800000004,-1.3898418993423758e+37,-3.365085940692402e+36,413018.24792516325,-3.6913303803910766e+37,-5.46448562388626e+35,6755128.724752427,-2.2150648283706876e+38,-1.1727646621452751e+37,1888754.7518005776
AZE,11974.018467203881,mid-low,-208.25577729571808,-1.975958825288851,10539479.6,-2585929.886887874,-414570.1275653688,623761.7510152437,-3469604.6187940408,-38450.03558628005,9023670.761002062,-14770043.223889891,-1655748.9010339337,892046.0834771942
BDI,666.0281286052187,low,-1632.2427610934005,-11.651492481917607,14008872.799999999,-22076568.10005516,-1041411.4683000876,2119869.8854441354,-77010681.97042137,-667936.6340222951,11529638.898029184,-64137026.03886352,-17847370.100868937,359364.0165266751
BEL,39597.123875240366,high,-561.5141995324525,-4.792320419502486,11716958.599999998,-772629.5791926105,-135985.86698076988,568169.028404893,997868.3401075751,11460.63533916896,8706919.909554796,-56376658.71416021,-2308850.1391288736,2441763.4457397508
BEN,2169.506319584182,low,763.8362017275795,5.209070233130645,14663580.399999999,29163980.67188818,1255592.7859008778,2322726.0461649797,27166550.493860457,228585.2480244823,11884647.294015588,20053089.00700931,4395621.177868517,456206.03313075454
BES,14621.74787717213,mid-high,-0.6144846912892057,-5.46791383976904,11238.009765625,-5323.703642014549,-542596.3021960914,981.1536902237478,-15099.33202581148,-165999.22481120797,9096.02562480882,-41025.43346109454,-3534473.522504171,1160.722613987162
BFA,1556.3762456197046,low,1715.676923661676,6.911641731050605,24823001.400000002,57543991.72859615,1501196.9823860987,3833207.2608574023,69742894.55021292,342688.89543881966,20351664.579298906,44280806.087358534,6939156.070156941,638129.5598436806
BGD,3915.648234644474,low,-9206.859102037952,-5.198763681331917,177097088.20000002,-88238086.91904892,-604062.5305251742,14607442.517968198,-268331452.15758663,-177877.42062040756,150851890.71310464,-564116371.1271596,-4847304.309695616,11637733.781203082
BGR,17286.232723371064,mid-high,-301.13066738400306,-4.543871727206468,6627182.4,-1255266.019356741,-436949.0343479623,287279.73303108755,-1210793.9911775133,-24816.58433451224,4878971.154356931,-27647006.727866054,-1892439.9011132438,1460918.6115555093
BHR,31425.49672238697,high,-7.329991341233664,-0.44474562105454135,1648131.2,-191317.74980225548,-200629.28183147052,95358.83698320927,-50730.4412770332,-3438.637856709027,1475306.3099696438,-490950.94304407766,-633762.6918274581,77466.05304714578
BHS,26571.06764317853,mid-high,-8.393351189953629,-2.010671514136307,417440.2,-99230.03453262411,-430229.9984529907,23064.415519473947,-36480.36827119297,-10350.930457021675,352435.6425991258,-703624.7161915458,-1677929.1529281465,41934.11354488082
BIH,10161.934631009533,mid-low,-196.33998159335908,-6.218783553161232,3157208.8,-1212000.410560391,-807719.3759881596,150052.16497098835,-1427074.7913138268,-59414.936661334024,2401878.839740541,-16994922.957461692,-2807908.655031623,605251.9880590736
BLM,34496.14871996031,high,-0.06016226259338882,-4.8540493939302785,1239.4241943359375,-957.9716986582864,-885289.0098796173,108.21005208102072,-120.98921666778415,-12060.47534942627,1003.1877945303354,-4937.2653440128115,-3856803.015166638,128.01445457798397
BLR,16451.831304127285,mid-high,-264.0696140136696,-2.8217745485466095,9358281.800000003,-1053708.4003552152,-254497.81950769722,414034.35298326635,-1335282.4960482195,-18459.27319019636,7233667.7738611195,-24017970.504963525,-1404148.3119938013,1710500.9705747918
BLZ,8024.448995917478,mid-low,-12.3245427506481,-2.866278051762855,429984.2,-85514.7950348652,-217921.46399619835,39241.10707899659,-438424.54960778693,-119503.76139882632,366870.92061028036,-708514.9304221577,-2967953.319036781,23872.17231071879
BMU,58202.11359600174,high,0.1533285786016851,1.1439444991558259,13403.498046875,-1822.7198117093005,-155759.34858883126,1170.215353507198,7562.125336740488,69704.92204030354,10848.768086087306,9593.452335137323,692975.253684848,1384.38599129259
BOL,5901.623304789105,mid-low,-768.1275179748684,-6.00837235617322,12784286.200000009,-18655942.522992406,-1448830.9719699114,1287654.866849426,-19124104.538216513,-176197.76714393985,10853772.353762923,-39032704.736277916,-6071746.292149873,642857.966360404
BRA,11651.517904645025,mid-low,342.63898072066934,0.15681870438484785,218493694.4000003,8068282.55874841,61982.61648292708,13017008.665600289,37729043.11434077,20745.672475386687,181864642.65790218,-11533427.601022247,-48845.70458290084,23611958.71675417
BRB,14336.394541562768,mid-high,-20.76592258406069,-7.341283857692074,282865.00000000006,-89032.97095857057,-590295.3719391543,15082.783160927069,-367884.238481459,-168960.52123869167,217733.8444415346,-1619675.0489660397,-3236219.2242753273,50048.37239753826
BRN,54024.5873379514,high,-8.548257311049705,-1.837947553214528,465097.99999999994,-666708.3198484954,-2128953.3909629374,31316.247818226755,-77408.38063719215,-19353.778689515362,399965.20513654035,-110709.03061928286,-327381.23875038297,33816.54704523087
BTN,7747.31669806525,mid-low,-18.76914202742157,-2.338229017318582,802707.6,-314779.06311566324,-608528.6631450842,51727.89421105942,-474449.273503202,-67942.30747621103,698311.9813369941,-1087685.8661232917,-2065184.8498139442,52667.72445194351
BWA,12486.185218534558,mid-low,123.83869363332073,4.465702603474412,2773106.5999999996,1814382.8430571966,625418.3757511392,290107.056876621,4241125.920757101,178690.06449945422,2373453.685092858,6328360.599517774,5777065.921685024,109542.81438547184
CA-,16625.21678003638,mid-high,-9.833313845860193,-0.7475200965336842,1315458.125,-131662.37819569258,-114640.22538241216,114848.324622966,-89301.59936473054,-8387.256778922736,1064729.5262158469,-762367.4070255962,-561110.3151358811,135867.65141556485
CAF,780.6584387351959,low,153.44948313806805,2.44043952707364,6287780.599999999,16889800.85986301,1498388.9707271655,1127197.355948664,1277100.8503506375,25555.853919971334,4997292.809506207,-2821953.3964068433,-1728180.4682974406,163290.43454512363
CAN,37686.86210954574,high,-3310.196354168584,-8.53068460937396,38803408.00000001,-149280.7631188187,-8406.311278841835,1775817.6941954212,-36714740.38836143,-126567.80605498911,29007961.449857328,-294155614.2653782,-3668349.678035081,8018745.21468575
CCK,17333.953122040326,mid-high,-0.0006180637146068436,-2.770312660623858,22.31025123596191,-8.78319466264637,-450920.94739278156,1.9478346955116357,-0.7659188787815862,-4241.466522216797,18.057878678747173,-52.25725791925641,-2267791.46194458,2.30432377915591
CHE,51993.74074727851,high,-1142.44622660732,-12.861474272027909,8882700.4,-60984.2920429619,-14512.130007010664,420229.7802838108,-3457801.32225923,-52025.54269412866,6646353.201135296,-110725837.04642981,-6097123.232531371,1816034.1004040893
CHL,17431.532830032993,mid-high,-478.2564106249964,-2.433281538795657,19654791.4,-4565218.386571946,-449554.33911166555,1015498.6815593796,-3963463.165596989,-25031.600418276124,15833838.425701208,-39296959.51033071,-1400971.8582167763,2804978.506873775
CHN,11177.071597495536,mid-low,-20303.690345703235,-1.425469698491952,1424350890.5999987,-140158570.301428,-245921.44556967198,56993228.05164614,-167710852.88875324,-14483.808076936666,1157919602.3441384,-1722499611.3801422,-822444.849161502,209436488.4327822
CIV,3538.358652543394,low,221.80086174314502,0.7290081912433906,30425016.400000013,26740493.006278418,602222.8556851308,4440298.5960831,1114853.885774594,4417.716509368301,25235976.1748046,-5675260.71773851,-757984.5615631546,748730.383905801
CMR,3168.326160850015,low,555.6233107928022,1.831327504505078,30339920.6,33932438.44233266,754527.2319322067,4497178.763904634,16913752.82460901,67640.8382127292,25005238.36120358,4716139.812338541,563124.3441239528,837495.2817348707
COD,799.5069006723505,low,895.3906013383074,0.8055968770475402,111146235.39999998,225504608.032046,1114641.8161634768,20231127.592917506,-35471172.843981415,-40456.98650100649,87676260.42315081,-100494375.05423383,-3102784.0239210534,3238845.316962699
COG,3083.780948935206,low,44.916536947021584,0.6921844919767997,6489099.0,5827539.674255117,657990.4436157818,885657.1901305565,264619.83740217425,4886.839787589229,5414948.083098838,-1600505.8169551326,-849102.9618735987,188493.72677060467
COK,17333.953122040326,mid-high,0.13060794041465307,2.7856422994840964,4688.611328125,2293.0369384694145,560169.1428352804,409.3472423102908,-204.73385465395907,-5394.897040198832,3794.953881944956,10972.49095764985,2265802.0141077978,484.2652133474458
COL,10845.738818431882,mid-low,-2151.8369691019047,-4.077476005716406,52773749.39999997,-20858810.284622516,-583647.8406667854,3573869.177823477,-37508303.56700014,-85438.71794916129,43900826.77658945,-156816583.05856782,-2959368.5227691303,5298988.005448944
COM,2635.50020387755,low,-1.2209929309915886,-0.13605933458148947,897397.4000000008,648877.7066622638,547946.9928086973,118419.79519519037,-190893.94183545117,-25712.889250294844,742405.6471338095,-580083.0579259713,-1586141.6639066206,36571.95767099666
CPV,5971.206258464101,mid-low,-22.15912764630052,-3.6130280953832203,613311.7999999992,-136327.83731782107,-272737.90614277706,49984.92481146133,-682591.4548802143,-129807.4345962674,525849.2758933564,-1396993.4724320166,-3727642.897998585,37476.59072123241
CRI,14616.663972247832,mid-high,-468.8412073097346,-8.867582640284619,5287136.6000000015,-2624199.2026728997,-894399.1244066766,293403.59701422247,-9601108.572967995,-220021.0503421076,4363722.724729914,-34658812.95533256,-5501379.392376567,630002.231864982
CUB,9072.806747588114,mid-low,345.29236849753306,3.0837572379921308,11197132.0,2467861.69387306,448708.63396691834,549992.0231209561,6227851.28704747,70887.42478487927,8785551.606574807,25833523.868832774,1387881.6209093956,1861363.6407913244
CUW,18286.769394288604,mid-high,-14.048253669339044,-7.16040363668287,196193.6,-83489.36171182826,-807658.5734591765,10337.20986260889,-16417.698236648197,-10611.30458233403,154718.9425132589,-1304918.306985428,-4190832.6036789846,31137.447624128108
CXR,17333.953122040326,mid-high,-0.02670263605359643,-2.5870712021867837,1032.156982421875,-304.5738696551246,-337986.41901390225,90.11423315284058,-51.030558348113225,-6108.327239167455,835.4260724752611,-2314.6591773564055,-2171212.13090186,106.60677252180612
CYM,54934.30317578633,high,-0.37622948721861227,-1.542812682732871,24385.947265625,-25686.75512141739,-1206485.144297282,2129.056892480732,-3838.023813510801,-19444.902270447972,19737.943447233283,-8098.169786933042,-321520.1583563114,2518.7129256009453
CYP,28451.28479608835,high,-4.935486926012549,-0.3823401624101762,1290862.8000000003,-94516.23555438175,-153574.30684207546,61544.30223251817,123980.9631533846,12100.70009416965,1024576.7781082435,-523013.420200258,-255457.86305446332,204735.6906327648
CZE,30435.316323260682,high,-4.732203751330937e+35,-4.3723205803114397e+33,10823094.2,-3.645488711023196e+39,-6.768196727987523e+38,538620.3825826377,-6.330986220132427e+39,-7.882119234960002e+37,8032086.335426456,-3.734556258215376e+40,-1.658065454245187e+39,2252357.5584146553
DEU,40417.90711488682,high,-5569.226049023713,-6.670903429575183,83485334.59999995,-3316271.0250440566,-87210.92880366376,3802586.5227394975,-2349966.133378107,-3907.495600135786,60139955.968125604,-551256367.7439492,-2820914.699195815,19541759.55412977
DJI,3806.7598671084684,low,380.009193121512,32.53594176699729,1167967.3999999992,3467401.2062013503,3012977.9528610026,115082.19643322797,14790178.677169496,1482932.5964847144,997360.1438278148,19743339.428780355,35557529.37791071,55525.05973895207
DMA,10554.996760557024,mid-low,-2.2154977186625393,-5.295096432658974,41840.5546875,-12412.063396504174,-339780.8631553369,3652.961288414226,-48616.512605741125,-143556.90911704418,33865.67243942493,-160521.19586400862,-3714461.938072653,4321.51947012006
DNK,39669.699426113046,high,-147.5476730321977,-2.4941197184208135,5915821.6000000015,10631.522500511712,3447.0332535308726,308425.2955674741,-807312.373223433,-18562.910354098036,4349061.423146974,-13958086.45249685,-1109312.3787538137,1258264.7340668074
DOM,12667.94212965161,mid-low,-614.0600861081334,-5.274069728026977,11643002.8,-4673277.164424026,-463835.16104261234,1007529.7340372811,-14602523.41708586,-150622.66448516375,9694771.677953022,-42130208.029303454,-4479340.14265956,940544.9617025309
DZA,9916.718443448268,mid-low,-325.24723346749863,-0.6867487144651471,47360442.999999985,-40840342.65200575,-860938.8908140499,4743698.1982994955,8112958.437235855,20621.96545841049,39341344.32335136,202660.86802002706,6187.394040042999,3275383.250338759
ECU,8395.216261732445,mid-low,-890.6518081977847,-4.790155774150015,18593378.8,-10208781.2315947,-681154.4860626332,1498746.8247630373,-16574811.309999757,-106801.34328272824,15519291.050602555,-62281588.27818401,-3953733.5158354016,1575260.1440824284
EGY,8580.507016734096,mid-low,589.2248392933732,0.49968475248913563,117919315.39999999,-15384411.497484116,-120372.21266217786,12780700.094514463,34163027.152184956,34458.284442985765,99143145.7033523,40143868.27463648,669571.4032909981,5995457.40414332
ERI,1364.1960099938435,low,592.3990835530832,15.085568552201392,3926925.800000001,13699918.313515218,2656720.5754947267,515670.27559772856,22980412.08065398,706970.215735513,3250548.830652755,22559577.961139113,14037733.858367769,160706.6937495153
ESH,2462.2145172142295,low,-32.79006598246659,-5.415282458263535,605509.7999999995,-253971.9458644578,-552418.7459415816,45974.53430577742,-943972.8713040596,-181381.71930385474,520434.4048160085,-2081061.7810781416,-5322291.464528324,39100.86087821143
ESP,30639.47803724409,high,-149.1803616681447,-0.3131246889422824,47642478.2,-7017450.117014081,-416664.47036230064,1684196.9057050208,16133060.72855516,45196.9440986067,35695025.51623285,-24033646.77835555,-234191.47118339455,10262391.989303011
EST,26719.11653008347,mid-high,9.152624367673521,0.682772623257976,1340508.4,22857.616735601387,35316.779837574846,64721.68991829292,20171.07353755342,2030.692522976596,993310.080641189,872233.7464941967,308797.16435130214,282461.70858677407
ETH,1470.695058717531,low,-18539.80529576311,-13.83241805940008,134031557.0,-369308941.17403114,-1954831.7084145064,18892109.207373373,-717513699.8913208,-648005.2370134274,110726527.95188028,-767157888.5109593,-17384396.699392542,4412910.621958861
FIN,36368.734976728134,high,84.61538370562616,1.5295302886589377,5532115.6000000015,76956.68432863877,33690.050210870664,228425.55545912308,-73261.06551207133,-1850.3043262883548,3959406.270158296,8457842.751746045,629192.4447360021,1344237.811897885
FJI,9281.934589707498,mid-low,45.031417036371614,4.763029753918046,945436.3999999996,447347.3668028309,525382.0439789562,85147.06049237364,1299559.012276779,162703.6104446228,798727.8270749203,2756235.3245575526,4477205.344119047,61561.512432704396
FLK,61917.14362595417,high,-0.045155950941110544,-2.037631826208649,2216.099609375,19.283869797188512,9966.835188998968,193.48037196876044,-580.2523261463323,-32349.333926743144,1793.7071825353366,-3954.6266377619104,-1727735.1528990504,228.89078983698695
FRA,35222.774129730926,high,-2322.5636891142744,-3.559861866362884,65243084.59999998,-10717518.381294504,-314286.87774739653,3410106.861002499,12040549.976336986,25549.862230201514,47125694.32998473,-233579400.50646994,-1588344.8809012284,14705836.453726394
FRO,37148.289195961086,high,-0.010201086437418544,-0.07163537898365642,14240.291015625,61.91221529852177,4979.776401145787,1243.2729968413144,-30.773089770139762,-266.98691003462847,11526.066864532222,-1051.2477692702396,-71473.85092342614,1470.8145086466643
FSM,2784.0838249938415,low,0.5192044021628226,0.0771346678116169,673114.2,221551.47724885007,339485.73224684765,65260.90972440486,26691.904188726156,4828.0204628028105,552853.9987428037,-196322.941221294,-357007.7148138308,54991.232142888206
GAB,12005.353195687514,mid-low,-55.672160027575615,-2.1750791479136935,2559546.4,-840534.3265989191,-274445.9839995938,306265.85033219616,-2293794.806226016,-106671.65933290022,2150331.981869295,-2432886.8699326254,-2363276.304059544,102945.51110056437
GBR,34472.20343001219,high,-2484.306593036377,-3.652485136523516,68016884.39999986,-4123420.108800587,-122376.93599693893,3369442.187132163,2057874.1648881282,4031.0965507973847,51049984.51304927,-246365113.35972524,-1812027.114885435,13596105.231311709
GEO,10573.135235956372,mid-low,-230.32440993919465,-6.413743290974662,3591107.4000000004,-1502394.7224320616,-671400.3421847699,223770.32420674598,-2612101.581147648,-92890.31723831587,2812027.839722131,-18917944.69033976,-3406777.00352634,555303.2872641173
GGY,36887.52675219698,high,-0.6350293710550451,-1.8148670996211858,34990.40625,-5851.652862556253,-191549.90163503907,3054.8973466483085,5111.800645674444,18049.395181764805,28321.174167868325,-62763.0848886227,-1736665.8173355402,3613.998977933259
GHA,4049.606117392218,low,496.95713303759044,1.380865968333513,35988803.00000001,24445284.84192643,540961.4449098215,4518858.981900544,15448702.380350608,51327.08746644155,30098536.93812494,9801726.081482006,714720.925217346,1371406.0601347736
GIB,57014.6321086448,high,0.07376773313574436,0.8237770797797737,8954.8173828125,-1405.1246393934298,-179725.822280435,781.8156687584631,4468.452216209807,61650.71454118281,7248.013667748931,4313.445736758062,466367.8080427881,924.9021185360876
GIN,2252.5970617549406,low,-285.2596201288111,-1.9089869365640972,14942984.400000006,8346284.201533027,376396.03717473,2217420.8485777783,-15658182.60746458,-128075.03303115943,12225788.459219132,-21214063.606949557,-4244730.743570455,499774.0702182996
GLP,21008.43660816424,mid-high,-35.224792788380554,-8.842363463661515,398364.0,-206593.99060952128,-785050.7290924297,26316.00518967195,-30844.94623033059,-10732.98360787186,287384.6393253417,-3285040.3419982037,-3883244.7070701453,84595.24417859109
GMB,1904.884427906059,low,35.887563094624525,1.234407813249398,2907269.6,2809494.3200363163,705869.8233572259,398018.76026856166,854165.076810071,35084.81245661425,2434572.161006499,-74903.08738393485,-100300.49896815237,74678.67872493659
GNB,1480.326918390823,low,37.87635931943569,1.6765216480391263,2259222.8,2859580.7313598273,933334.2817444727,306383.3384556553,960300.4493446912,50882.76927185782,1887280.2386481212,-32245.24876094924,-49184.916075030174,65559.22289622299
GNQ,15751.544468720158,mid-high,-49.200868017543904,-2.681790171147734,1834627.8,-1150393.7316707566,-473616.4936646044,242895.62273678285,-1984199.4748334172,-129503.95607977964,1532153.561093586,-1785493.5952502163,-2996921.396941921,59577.59176040273
GRC,22282.874313385437,mid-high,-169.2587807933753,-1.638029595819289,10333072.2,-1856698.6949407724,-477674.2671219612,388695.5657309282,883876.962680943,11769.76941914776,7509721.993729116,-15953056.347077701,-655297.8222566078,2434474.18948245
GRD,10119.25641466602,mid-low,-4.517152601915258,-3.5668958725177933,126641.0,-14983.812190952423,-157694.6817046287,9501.786635403452,-105848.07316340508,-102372.39939617175,103395.12777636752,-330883.37483716826,-2407460.0868365346,13744.085588224962
GRL,34763.43222705581,high,-0.8550354729304342,-4.246266798468093,20136.16933441162,8333.507789839381,474027.30043052416,1758.0227514893484,-7629.6936079812485,-46813.161639252496,16298.180556093454,-86207.36147490155,-4145037.439713249,2079.772806126097
GTM,6908.473445595478,mid-low,-1267.7464103851241,-6.717885121561206,18871213.0,-17465880.364427492,-882742.4455989607,1978593.014475077,-38654833.66762487,-242460.70307383814,15942721.09977882,-70653927.00646007,-7439215.825024563,949749.660021818
GUF,15568.306699807054,mid-high,-17.557246123120418,-5.343871214150106,328549.1999999992,-297718.8779119371,-781945.7562894549,38074.1087878901,-590916.517540527,-219906.6156591352,268712.47859885823,-867089.2168595777,-3984306.628385537,21762.612613249774
GUM,30426.08302180391,high,-3.9272954431733678,-2.256034275798753,174079.60000000006,-44730.09816113589,-314725.7475291982,14212.405089922337,-17226.719126141354,-12536.328446631334,137414.38890563196,-330772.72703005956,-1473652.7966518027,22445.77065789094
GUY,13755.104957580408,mid-high,20.99426226119597,2.5909604404251905,810288.7999999992,232882.18278281897,300944.8966876176,77383.66237343175,459983.0762573937,67954.23848656069,676901.2301541199,1406560.9670793843,2511945.5564298523,55994.882670884166
HKG,40083.69448416647,high,-72.8499508580497,-0.9663601495521891,7538592.200000003,-1000872.869084514,-412449.07188752096,242665.80707871303,-76580.54329506637,-1374.908219063062,5569865.845100014,-6207541.6734253885,-359802.98843289004,1725261.288257257
HND,4001.146058711295,low,-741.107924367663,-6.749772202111017,10979747.200000003,-4129608.5235026777,-388171.8115212308,1063861.001992622,-27215761.01053487,-289287.83740048663,9407848.340633035,-42765422.90272876,-8417779.825785514,508036.8432983819
HRV,22124.989421492897,mid-high,-50.84210252710213,-1.2858743871825713,3953893.3999999994,-757181.2381623371,-433729.67294727446,174574.46086571587,1080397.7187460703,37707.49376212403,2865206.915001323,-5407426.733293946,-591564.4630974199,914089.1771930933
HTI,2227.8971950406894,low,161.34589810517625,1.3258612470872113,12169139.000000004,14118812.618456934,1106442.9724925614,1276054.2539892949,4738026.854024514,45931.870181699735,10315336.247537004,-2722249.6619638205,-471182.47285029595,577748.4984736971
