region,ISO,month 1  total deaths,month 8  total deaths,month 9  total deaths,month 10  total deaths,month 11  total deaths,month 12  total deaths,total deaths 6mo agg
ABW,ABW,-0.22099555384331565,-0.6500061057091889,-0.07140021369729768,-0.12170117961960869,-0.1488181997478744,-0.1682951112349835,-1.3812163638522688
AFG.1.12,AFG,-0.10146459487113751,-0.5339911121100283,-0.00036686296048986784,-0.3288957950541108,-0.02663757285933122,-0.03999780504387751,-1.031353742898975
AFG.1.R8abddb145b8788ee,AFG,-0.26261494888646464,-3.578206697792891,0.3370066037087191,-1.7192358045214888,0.6977276347005988,-0.7272083709152719,-5.252531583706798
AFG.1.R91a8634efe8e02a7,AFG,-0.07782554806089427,-1.955352632113401,-0.5454536568901073,-1.0063916255354928,-0.30325572896769915,-0.45733726254814816,-4.345616454115743
AFG.1.Ra6a2bba0a271cb4a,AFG,-0.6345757051779592,-2.525908181071716,-1.832750114406441,-7.474881567253676,-2.0538823902593353,-3.224671094312059,-17.746669052481185
AFG.1.Rcf29900a4c191e96,AFG,-0.008324780223314652,-0.18997118436509514,3.606192418295669e-05,-0.02034421315321746,0.027452016145015575,-0.02336407314023206,-0.21451617281266078
AFG.1.Rd0d6327d56611fba,AFG,-0.05205445060672818,-0.322585206742158,0.13695391597154835,-0.885856555908207,-0.06349753966356751,-0.2629546735588091,-1.4499945105079215
AFG.10.103,AFG,-2.060620536187304,-6.9048318963834765,1.569728740461172,-1.365161157345152,-3.958401843320123,-2.7631813150367215,-15.482468007811605
AFG.10.106,AFG,-1.410816689902649,-5.346401154765847,0.6280712590153672,-1.2884217713896653,-2.963450862901497,-2.1539144119683162,-12.534933631912608
AFG.10.109,AFG,-0.28202026364938276,-0.7358848486195836,0.1295406567913325,-0.21568232968127618,-0.48578893006859875,-0.33436174224175874,-1.9241974574692673
AFG.10.98,AFG,-0.4557536564541666,-2.1234564823310476,0.4645952471129374,0.0438860575137405,-0.7869428963365254,-0.6391027843588878,-3.4967745148539495
AFG.10.R01090b16282376f5,AFG,-2.4865466790285864,-10.035189977068946,1.6486655749937342,-0.7942262750457089,-4.466204991383036,-3.33888129115589,-19.472383638688434
AFG.10.R4231d3df78d3772c,AFG,-2.07196436128499,-2.5139957013465732,-0.37566942585691293,-3.5213303517213204,-4.116397092880852,-1.7982144109719993,-14.397571344062648
AFG.10.R7fc4ac9564655b4c,AFG,-5.5296211352511655,-19.70347045533832,2.1090748754901805,-5.197715437660022,-11.489762160389029,-8.170999987414083,-47.98249430056244
AFG.11.116,AFG,-0.7540993178867471,-1.60445298593567,-0.9448345997440621,-2.1186677703697,-1.6480941004057459,-1.1024484241825112,-8.172597198524436
AFG.11.117,AFG,-4.447973661863197,-10.04604040263771,-5.221333412879155,-11.875974661061752,-9.672327657141187,-6.601499573747492,-47.86514936933049
AFG.11.124,AFG,-2.26342599054063,-6.433085325553511,-0.5156054815237674,-2.214210679447859,-4.158013239153331,-2.7472404652503717,-18.33158118146947
AFG.11.R888b226f710b3709,AFG,-5.376458261815052,-22.454554236647557,-0.1764246429085645,-4.096417829326831,-10.81492649383089,-9.068320139356633,-51.98710160388552
AFG.11.R8c077254fc886fac,AFG,-0.08533915158459719,0.40448170299857283,-0.20149016587941848,-0.8699107686984244,-0.6098496337182587,-0.12465940729077342,-1.4867674241728994
AFG.11.R95ece0d29da8aba1,AFG,-5.430069989635592,-9.679657088060601,-5.714702693234466,-14.558775700676927,-12.267997185694394,-8.574618313480602,-56.22582097078258
AFG.12.Rc50339f5954ae669,AFG,-5.7969414970052675,-7.2265988949951385,-2.5544800209870546,-13.49945561813401,-6.743254076782849,-7.853582734505592,-43.67431284240991
AFG.12.Rd2a3753cae07169e,AFG,-0.5104525602421454,-0.536748776896076,-0.19467058865901343,-1.2306720746468898,-0.802613817538716,-0.8838333999043917,-4.158991217887232
AFG.13.140,AFG,-6.441234030130004,-37.76518323594694,-35.476119777005216,-11.349289398232163,-9.623450939683726,-1.3736594712957721,-102.02893685229381
AFG.13.R0d3e2743dd7da761,AFG,-2.3162825176867377,-17.002507765470195,-13.686338936051602,-4.700094293011988,-4.234211832729234,-0.7848402128227198,-42.72427555777248
AFG.13.R2fd01f61b0993bc3,AFG,-4.909484001106337,-27.429165349660757,-25.792427345562157,-8.15734598982705,-6.938894797707055,-0.8447526226912612,-74.0720701065546
AFG.13.Rc172c1175351df3c,AFG,-0.4240921107530659,-2.1522549420073473,-1.9964499864271723,-0.6233707883488314,-0.534649052943271,-0.04048575091219586,-5.771302631391883
AFG.14.149,AFG,-0.6414811096326131,-0.871542036651478,-0.08973161957790225,-0.8923637005154375,-1.0914519049697529,-0.7079082758115703,-4.294478647158754
AFG.14.153,AFG,-5.26125551252824,-7.065996381268863,-0.7518559065737827,-7.344143396995797,-8.86393513185786,-5.788609869997628,-35.07579619922217
AFG.14.158,AFG,-0.1884828096738685,-0.5399342819216228,0.03837478864562358,-0.13217447411012317,-0.3265863492923437,-0.20925268579394102,-1.3580558121462756
AFG.14.160,AFG,-0.23326814022611617,-0.04956439199631375,-0.017836893912261,-0.24308786250232908,-0.3406933873551432,-0.1837309403345637,-1.0681816163267268
AFG.14.161,AFG,-1.9553212352641094,0.31193993889006516,-0.31640033049195154,-2.7847353886488753,-3.310641157871438,-1.6575574732568537,-9.712715646643163
AFG.14.R125e4bb8260ea315,AFG,-7.540979298712303,-11.942411432375849,-0.8042731018803162,-9.963011449287427,-14.3045800565764,-8.626013028323586,-53.18126836715587
AFG.15.167,AFG,-0.5985787866457266,-3.039237648695026,-2.819411738568605,-0.8803861884245674,-0.7550535270245677,-0.05734458569346648,-8.150012475051959
AFG.15.R49ce84ced4420d4c,AFG,-0.22469398567643642,-0.20061003102028083,-0.24516760651685146,0.015035496981263755,-0.5959161288170435,-0.21094756747451643,-1.462299822523865
AFG.15.R9f61a8d4b0fea672,AFG,-0.3114897904256328,-0.9079260886731658,-0.9078884474875465,-0.21003591857394682,-0.6369179017266612,-0.1700897721346316,-3.144347919021585
